source,date,title,summary,url
OilPrice.com,2026-03-13,Big Tech's Push to Make Electricity Cheaper,"A new coalition of tech firms, including Google and Tesla, is banding together to address the growing issue of energy affordability in the United States. The AI boom is pushing energy grids around the country to the max, and skyrocketing energy demand from the data centers that power large language models is causing energy prices to soar. Until now, consumers have had to pay the price for Big Tech...",https://oilprice.com/Energy/Energy-General/Big-Techs-Push-to-Make-Electricity-Cheaper.html
OilPrice.com,2026-03-13,The Myth of the Oil Glut Is Dead,"For almost a decade, the global oil debate has been dominated by a powerful narrative: the world is drowning in crude. Financial pundits, banks, and energy agencies were all hitting the drums to announce a structural “oil glut”. A majority in oil markets was following the theory that the combined impact of US shale expansion, Russian exports, and sanctioned Iranian barrels quietly appearing in mar...",https://oilprice.com/Energy/Crude-Oil/The-Myth-of-the-Oil-Glut-Is-Dead.html
OilPrice.com,2026-03-13,Bank of America: Sell Oil Above $100,"Bank of America is warning investors not to chase oil prices higher if crude climbs above $100 per barrel, arguing that prices at those levels tend to trigger government and central bank responses aimed at cooling the economy. The bank said oil has already been one of the biggest market movers this year. Crude prices are up nearly 70% year-to-date, far outpacing broader commodities, which are up a...",https://oilprice.com/Latest-Energy-News/World-News/Bank-of-America-Sell-Oil-Above-100.html
Better Dwelling,2026-03-13,"Canadian Unemployment Hits Recession Levels, Private Sector Stalls","February may be the shortest month, but it punched above its weight when it came to job losses. Statistics Canada (StatCan) data shows employment fell in February, concentrated entirely in full-time roles. The little growth over the past year has been public sector expansion, masking a stalling private sector. The result: unemployment is at recession [&#8230;]
The post Canadian Unemployment Hits R...",https://betterdwelling.com/canadian-unemployment-hits-recession-levels-private-sector-stalls/
Better Dwelling,2026-03-12,"Canadian Building Intentions Surge, Mostly Government Spending","Canadian headline building intentions are still coming in strong, but details are less flattering. Statistics Canada (StatCan) data show building permit values climbed in January, but remain weaker than pre-2023 levels once inflation-adjusted. A non-residential surge was behind most of the improvement, but it was taxpayer-funded, cementing Canada’s dependence on borrowed growth.&#160; Canadian Bui...",https://betterdwelling.com/canadian-building-intentions-surge-mostly-government-spending/
Better Dwelling,2026-03-11,Canada’s Rental Bubble Moves East: Halifax Nears Toronto Prices,"Canada’s most expensive markets are on a collision course with its formerly affordable markets. Statistics Canada (StatCan) data shows quarterly rents in Toronto and Vancouver cooled in Q4 2025. The gap between expensive and traditionally affordable markets didn’t, with cities like Halifax now renting where Toronto was just 4 years ago—despite the latter’s economy being [&#8230;]
The post Canada’s...",https://betterdwelling.com/canadas-rental-bubble-moves-east-halifax-nears-toronto-prices/
Better Dwelling,2026-03-10,Canada’s Mortgage Delinquency Surge Now Resembles US Housing Crash,"Smaller mortgages historically carried larger delinquency risks in Canada. Not anymore. TransUnion data now shows the largest mortgages falling into arrears at more than double the rate of the smallest. The reversal resembles the unwinding of the US housing bubble, when those with supersized mortgages rapidly cracked.&#160; Canadian Mortgage Risk Is Usually Concentrated At The [&#8230;]
The post C...",https://betterdwelling.com/canadas-mortgage-delinquency-surge-now-resembles-us-housing-crash/
Better Dwelling,2026-03-09,"Toronto Condos In Recession, Filled With Supply No One Wants: BMO","Greater Toronto’s real estate rut shows no signs of ending soon. BMO Capital Markets recently shot down the pent-up demand and slowing supply narratives, warning investors the market is filled with supply no one really wants.&#160; Toronto Real Estate Weakness Is Being Led By Condos Source: BMO Capital Markets; TRREB. Toronto’s slide continued last month [&#8230;]
The post Toronto Condos In Recess...",https://betterdwelling.com/toronto-condos-in-recession-filled-with-supply-no-one-wants-bmo/
Better Dwelling,2026-03-08,"This Week’s Top Stories: Canada’s Housing Crisis Deepens, Toronto Home Sales Hit New Lows","Time for your cheat sheet on this week&#8217;s top stories. Canadian Real Estate Canada’s Public Spending Spree Means Higher Mortgages For Longer A new National Bank of Canada (NBC) report confirms what most already know—government spending is spiralling. Government “investment” has grown at 3.5% annually over the past three years, over double the 1.7% rate [&#8230;]
The post This Week&#8217;s Top...",https://betterdwelling.com/this-weeks-top-stories-canadas-housing-crisis-deepens-toronto-home-sales-hit-new-lows/
Better Dwelling,2026-03-06,Canada’s Public Spending Spree Means Higher Mortgages For Longer,"Canada is using public spending to mask private sector weakness, and the bill won’t stop at taxes. A new National Bank of Canada (NBC) report warns public investment is growing at over twice the rate of overall GDP. It’s also fueling more borrowing, lifting the benchmark rate that impacts borrowing costs for everything from government [&#8230;]
The post Canada&#8217;s Public Spending Spree Means H...",https://betterdwelling.com/canadas-public-spending-spree-means-higher-mortgages-for-longer/
Better Dwelling,2026-03-05,"Toronto Real Estate Sales Fall To New Lows, Prices Tick Higher","Toronto real estate’s downturn continued last month, showing few signs of improvement. Toronto Regional Real Estate Board (TRREB) data shows home prices made a minor increase in February. Despite the mild bump, sales slipped to one of the lowest levels on record, while robust inventory continued to stagnate in the market.&#160; Toronto Real Estate Prices [&#8230;]
The post Toronto Real Estate Sale...",https://betterdwelling.com/toronto-real-estate-sales-fall-to-new-lows-prices-tick-higher/
Better Dwelling,2026-03-04,"Bank of Canada Is “Chasing Its Own Tail,” Warns Bank of Canada","Canada’s central bank is “chasing its tail,” warns a new Bank of Canada (BoC) staff paper. The researchers studied the impact of including mortgage interest in the Consumer Price Index (CPI), discovering the circular logic. The BoC sets interest rates based on CPI, but CPI includes mortgage interest costs driven by those very rates. As [&#8230;]
The post Bank of Canada Is “Chasing Its Own Tail,” W...",https://betterdwelling.com/bank-of-canada-is-chasing-its-own-tail-warns-bank-of-canada/
